datum,vix,vdax,fg,vdax_quelle
2013-01-14,,,86.00,gemessen:^GDAXI
2013-01-15,,,89.00,gemessen:^GDAXI
2013-01-16,,,85.00,gemessen:^GDAXI
2013-01-17,,,86.00,gemessen:^GDAXI
2013-01-18,,,89.00,gemessen:^GDAXI
2013-01-22,,,89.00,gemessen:^GDAXI
2013-01-23,,,92.00,gemessen:^GDAXI
2013-01-24,,,92.00,gemessen:^GDAXI
2013-01-25,,,91.00,gemessen:^GDAXI
2013-01-28,,,93.00,gemessen:^GDAXI
2013-01-29,,,94.00,gemessen:^GDAXI
2013-01-30,,,93.00,gemessen:^GDAXI
2013-01-31,,,89.00,gemessen:^GDAXI
2013-02-01,,,88.00,gemessen:^GDAXI
2013-02-04,,,80.00,gemessen:^GDAXI
2013-02-05,,,88.00,gemessen:^GDAXI
2013-02-06,,,81.00,gemessen:^GDAXI
2013-02-07,,,85.00,gemessen:^GDAXI
2013-02-08,,,83.00,gemessen:^GDAXI
2013-02-11,,,82.00,gemessen:^GDAXI
2013-02-12,,,82.00,gemessen:^GDAXI
2013-02-13,,,83.00,gemessen:^GDAXI
2013-02-14,,,87.00,gemessen:^GDAXI
2013-02-15,,,84.00,gemessen:^GDAXI
2013-02-19,,,81.00,gemessen:^GDAXI
2013-02-20,,,79.00,gemessen:^GDAXI
2013-02-21,,,68.00,gemessen:^GDAXI
2013-02-22,,,78.00,gemessen:^GDAXI
2013-02-25,,,62.00,gemessen:^GDAXI
2013-02-26,,,61.00,gemessen:^GDAXI
2013-02-27,,,56.00,gemessen:^GDAXI
2013-02-28,,,61.00,gemessen:^GDAXI
2013-03-01,,,60.00,gemessen:^GDAXI
2013-03-04,,,60.00,gemessen:^GDAXI
2013-03-05,,,71.00,gemessen:^GDAXI
2013-03-06,,,69.00,gemessen:^GDAXI
2013-03-07,,,73.00,gemessen:^GDAXI
2013-03-08,,,82.00,gemessen:^GDAXI
2013-03-11,,,79.00,gemessen:^GDAXI
2013-03-12,,,77.00,gemessen:^GDAXI
